,0,1,accuracy,macro avg,weighted avg
precision,0.8842573856738163,0.8709251101321586,0.8778738662729382,0.8775912479029875,0.8778935511345267
recall,0.8817594834543987,0.8736190897039329,0.8778738662729382,0.8776892865791658,0.8778738662729382
f1-score,0.8830066680137402,0.8722700198544011,0.8778738662729382,0.8776383439340707,0.8778817925054963
support,2478.0,2263.0,0.8778738662729382,4741.0,4741.0
