,train,val,test
accuracy,0.7926965921824534,0.7766939098339045,0.786753849398861
balanced_accuracy,0.7905912596983027,0.7744811561254086,0.7838318787299067
roc_auc,0.8768615316347832,0.8581071706187677,0.8641590851459259
F1,0.7741147741147741,0.7562589928057554,0.7630653855167565
