,train,val,test
accuracy,0.9298060584754204,0.9024775962045335,0.8941151655768825
balanced_accuracy,0.9293464142640835,0.902296270718232,0.8931876696992749
roc_auc,0.9813841224026276,0.9677341382997684,0.9624205157395687
F1,0.925930505749969,0.8978464936499172,0.8872416891284816
