epoch,accuracy,loss,val_accuracy,val_loss
1,0.7465283870697021,0.5156391859054565,0.6304691433906555,0.6104698181152344
2,0.7972695827484131,0.43540892004966736,0.6678966879844666,0.5718449354171753
3,0.8063514232635498,0.410892516374588,0.7274644374847412,0.5048202276229858
4,0.8140856623649597,0.3968573808670044,0.7005798816680908,0.5462069511413574
5,0.8197691440582275,0.38273492455482483,0.7691091299057007,0.4526436924934387
6,0.8221128582954407,0.37679722905158997,0.8376383781433105,0.3454608619213104
7,0.8303158283233643,0.3615420460700989,0.8334211707115173,0.3532560169696808
8,0.8341829180717468,0.35604673624038696,0.8339483141899109,0.3545759320259094
9,0.8361164927482605,0.35015714168548584,0.8397469520568848,0.3453119397163391
10,0.8404523134231567,0.3468608856201172,0.8423827290534973,0.3338797688484192
11,0.8421515226364136,0.3422369956970215,0.8545070886611938,0.31919196248054504
12,0.843733549118042,0.33846667408943176,0.8444913029670715,0.33414211869239807
13,0.848831057548523,0.33078187704086304,0.8423827290534973,0.34669187664985657
14,0.8491826057434082,0.3276606798171997,0.8518713712692261,0.33604696393013
15,0.8495342135429382,0.33149412274360657,0.8597785830497742,0.31677475571632385
16,0.8539872169494629,0.32346418499946594,0.8608328700065613,0.31371229887008667
17,0.8549246788024902,0.31838107109069824,0.8618872165679932,0.3135444223880768
18,0.8538700342178345,0.31871771812438965,0.8597785830497742,0.3030608594417572
19,0.8556864261627197,0.3223342001438141,0.8634686470031738,0.3211660385131836
20,0.8583816885948181,0.31583303213119507,0.8555614352226257,0.3274105191230774
21,0.856330931186676,0.3159489333629608,0.8592514395713806,0.30310800671577454
