,train,val,test
accuracy,0.5227077977720651,0.5228051674136568,0.5226745412360262
balanced_accuracy,0.5,0.5,0.5
roc_auc,0.9021867734055391,0.8270730769552244,0.8201225133806752
F1,0.0,0.0,0.0
