,0,1,accuracy,macro avg,weighted avg
precision,0.5226745412360262,0.0,0.5226745412360262,0.2613372706180131,0.27318867605629044
recall,1.0,0.0,0.5226745412360262,0.5,0.5226745412360262
f1-score,0.6865216789028952,0.0,0.5226745412360262,0.3432608394514476,0.3588274035691572
support,2478.0,2263.0,0.5226745412360262,4741.0,4741.0
