,train,val,test
accuracy,0.87197515673522,0.8682129678439642,0.8605779371440624
balanced_accuracy,0.8742247985584681,0.870793976118339,0.8624280767528444
roc_auc,0.9548134175993862,0.9505368918196401,0.9397795607978581
F1,0.8732230925442414,0.8703319502074689,0.8608128026953042
