,train,val,test
accuracy,0.9158024257338724,0.8792830785450712,0.8738662729381987
balanced_accuracy,0.9155991238586526,0.8792951345571199,0.8732804490385921
roc_auc,0.9753775144361948,0.9519704598110853,0.9466310157757688
F1,0.9117376082550211,0.8742449203734212,0.8668744434550312
