epoch,accuracy,loss,val_accuracy,val_loss
1,0.7992880940437317,0.41706788539886475,0.8631690144538879,0.30717340111732483
2,0.8709380030632019,0.2888575792312622,0.8763511776924133,0.27611175179481506
3,0.8907784819602966,0.25212812423706055,0.881887674331665,0.27261772751808167
4,0.9065980911254883,0.22471991181373596,0.8874242305755615,0.2770066559314728
5,0.916419506072998,0.1987716108560562,0.8821513056755066,0.3090454936027527
6,0.9299980401992798,0.17148540914058685,0.8721328973770142,0.33769264817237854
7,0.9443016052246094,0.14132177829742432,0.8760875463485718,0.35532715916633606
8,0.9538593292236328,0.11460994929075241,0.8734511137008667,0.4781646728515625
9,0.9603849649429321,0.10338074713945389,0.882942259311676,0.43508508801460266
10,0.9691516757011414,0.08415161073207855,0.8853150606155396,0.46389082074165344
