epoch,accuracy,loss,val_accuracy,val_loss
1,0.8072303533554077,0.40134838223457336,0.8740115761756897,0.2900524139404297
2,0.8710376620292664,0.2877131998538971,0.8866631388664246,0.260112464427948
3,0.8906661868095398,0.25231611728668213,0.8914074897766113,0.2558567523956299
4,0.9026776552200317,0.2278699427843094,0.8987875580787659,0.2665083110332489
5,0.9136344790458679,0.20269936323165894,0.9003689885139465,0.26604342460632324
6,0.9264662861824036,0.17937907576560974,0.9035319089889526,0.25882741808891296
7,0.9320911765098572,0.1644103080034256,0.8972061276435852,0.2939218580722809
8,0.9409972429275513,0.14667896926403046,0.9035319089889526,0.3336177170276642
9,0.950372040271759,0.1276986449956894,0.8919346332550049,0.3396124541759491
10,0.9548836946487427,0.11332512646913528,0.8924617767333984,0.38480013608932495
