epoch,accuracy,loss,val_accuracy,val_loss
1,0.8007382750511169,0.4188394248485565,0.8592143654823303,0.317250519990921
2,0.8646759986877441,0.3047301173210144,0.8763511776924133,0.27973508834838867
3,0.8854393362998962,0.26675939559936523,0.8826786279678345,0.2675706744194031
4,0.899017870426178,0.23683232069015503,0.8874242305755615,0.2672927975654602
