,train,val,test
accuracy,0.9326770961504658,0.893516078017923,0.8858890529424173
balanced_accuracy,0.9312609059091488,0.8919349269292461,0.883957348752094
roc_auc,0.9855205276927768,0.9634345482088754,0.9579678992188261
F1,0.9273382659836843,0.8848346636259977,0.8756035870315015
