,0,1,accuracy,macro avg,weighted avg
precision,0.8572583906186818,0.8421516754850088,0.850031638894748,0.8497050330518453,0.8500475708870847
recall,0.8555286521388217,0.8440123729562528,0.850031638894748,0.8497705125475372,0.850031638894748
f1-score,0.8563926479499091,0.8430809975722798,0.850031638894748,0.8497368227610944,0.8500386583265016
support,2478.0,2263.0,0.850031638894748,4741.0,4741.0
