,train,val,test
accuracy,0.8689605167754268,0.849459530714474,0.850031638894748
balanced_accuracy,0.8688756647596452,0.8493987568364245,0.8497705125475372
roc_auc,0.9407700963042698,0.9260050205754439,0.9265748930847757
F1,0.8633113311331133,0.8431749519362812,0.8430809975722798
