,train,val,test
accuracy,0.9023795399116736,0.8275771157395202,0.8205020037966674
balanced_accuracy,0.9021867734055391,0.8270730769552244,0.8201225133806753
roc_auc,0.9656751269088574,0.8986966563859101,0.8932552551717152
F1,0.8977562996202969,0.8187361419068736,0.8119337016574586
